Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2024-09-20,Actions,Compute - UBUNTU,33,minute,0.008,1.0,krisrjensen,phd_sindy,github-codespaces[bot],Create Codespaces Prebuilds,
2024-09-20,Codespaces - Linux,Prebuild storage,0.745,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-21,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-22,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-23,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-24,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-25,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-26,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-27,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-28,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-29,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-09-30,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-01,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-02,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-03,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-04,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-05,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-06,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-07,Codespaces - Linux,Prebuild storage,1.7472,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
2024-10-08,Codespaces - Linux,Prebuild storage,0.2184,gb-month,0.07,1.0,krisrjensen,phd_sindy,,Create Codespaces Prebuilds,
